Lĩnh vực,1,2,3,Max,Class
CN1,0.58656,0.00672,0.327222222,0.58656,1
CN2,0.402708571,0.344031429,0.1714,0.402708571,1
CN3 ,0.254166667,0.25192,0.4348975,0.4348975,3
CN4,0.559457143,0.400342857,0.02,0.559457143,1
CN5,0.1625,0.235,0.6,0.6,3
CN6,0.236452381,0.416764286,0.370575,0.416764286,2
CN7,0.258742857,0.551367143,0.254465,0.551367143,2
CN8,0.15,0.25316,0.66654,0.66654,3
CN9,0.132046667,0.72858,0.2160175,0.72858,2
CN10,0.204166667,0.185,0.6,0.6,3
CN11,0.400077143,0.391422857,0.270615,0.400077143,1
CN12,0.402762857,0.116797143,0.322877778,0.402762857,1
CN13,0.4573,0.12602,0.368322222,0.4573,1
CN14,0.484775238,0.299511429,0.22718,0.484775238,1
CN15,0.440222857,0.141417143,0.2754,0.440222857,1
CN16,0.239905714,0.320854286,0.370777778,0.370777778,3
CN17,0.152914286,0.552265714,0.38012,0.552265714,2
CN18,0.176142857,0.395147143,0.359272222,0.395147143,2
CN19,0.18,0.37574,0.443871111,0.443871111,3
